Tipo_NL,Año_de_emergencia 
Laboratorio nacional ,1967
Cátedra ,1979
Programa universitario ,1981
Programa universitario ,1981
Programa universitario ,1982
Programa universitario ,1982
Cátedra extraordinaria ,1987
Cátedra extraordinaria ,1987
Programa universitario ,1988
Programa universitario ,1988
Cátedra ,1989
Cátedra extraordinaria ,1989
Programa universitario ,1990
Programa universitario ,1991
Cátedra extraordinaria ,1992
Cátedra extraordinaria ,1992
Seminario ,1992
Programa universitario ,1992
Cátedra extraordinaria ,1993
Cátedra extraordinaria ,1994
Laboratorio universitario ,1994
Programa universitario ,1994
Cátedra extraordinaria ,1995
Cátedra extraordinaria ,1995
Cátedra UNESCO,1995
Proyecto universitario,1995
Redes universitarias ,1995
Cátedra patrimonial ,1996
Laboratorio universitario ,1996
Proyecto universitario,1996
Proyecto universitario,1996
Proyecto universitario,1996
Cátedra extraordinaria ,1997
Cátedra extraordinaria ,1997
Cátedra patrimonial ,1997
Proyecto universitario,1997
Cátedra extraordinaria ,1998
Cátedra extraordinaria ,1998
Laboratorio universitario ,1998
Laboratorio nacional ,1998
Programa de investigaciones ,1998
Proyecto universitario,1998
Cátedra extraordinaria ,2000
Redes universitarias ,2000
Cátedra extraordinaria ,2001
Seminario universitario ,2001
Programa universitario ,2001
Cátedra extraordinaria ,2002
Cátedra extraordinaria ,2002
Cátedra ,2002
Cátedra extraordinaria ,2003
Cátedra ,2003
Cátedra ,2003
Redes universitarias ,2003
Cátedra ,2004
Cátedra extraordinaria ,2004
Cátedra extraordinaria ,2004
Cátedra extraordinaria ,2004
Laboratorio universitario ,2004
Proyecto universitario IMPULSA,2004
Seminario ,2004
Programa universitario ,2004
Seminario universitario ,2004
Macroproyectos ,2005
Proyecto universitario IMPULSA,2005
Proyecto universitario IMPULSA,2005
Macroproyectos ,2005
Macroproyectos ,2005
Proyecto universitario IMPULSA,2005
Macroproyectos ,2005
Laboratorio universitario ,2005
Macroproyectos ,2005
Macroproyectos ,2005
Macroproyectos ,2005
Macroproyectos ,2005
Macroproyectos ,2005
Macroproyectos ,2005
Programa de investigaciones ,2005
Proyecto universitario IMPULSA,2005
Proyecto universitario,2005
Proyecto universitario IMPULSA,2005
Macroproyectos ,2005
Macroproyectos ,2005
Macroproyectos ,2005
Unidades informáticas ,2005
Unidades informáticas ,2005
Redes universitarias ,2006
Laboratorio nacional ,2006
Laboratorio nacional ,2006
Redes universitarias ,2006
Cátedra ,2007
Cátedra UNESCO,2007
Seminario ,2007
Unidades informáticas ,2007
InnovaUNAM,2008
Seminario universitario ,2008
Seminario universitario ,2008
Seminario universitario ,2008
Redes universitarias ,2008
Cátedra extraordinaria ,2009
InnovaUNAM,2009
InnovaUNAM,2009
InnovaUNAM,2009
InnovaUNAM,2009
Laboratorio nacional ,2009
Laboratorio nacional ,2009
Laboratorio nacional ,2009
Laboratorio nacional ,2009
Laboratorio nacional ,2009
Seminario universitario ,2009
Seminario ,2009
Seminario universitario ,2010
Laboratorio nacional ,2010
Laboratorio universitario ,2010
Laboratorio universitario ,2010
Programa universitario ,2010
Redes universitarias ,2010
Unidades informáticas ,2010
Unidades informáticas ,2010
InnovaUNAM,2011
InnovaUNAM,2011
InnovaUNAM,2011
InnovaUNAM,2011
Laboratorio nacional ,2011
Seminario universitario ,2011
Programa universitario ,2011
Programa universitario ,2011
Seminario universitario ,2011
Unidades informáticas ,2011
Cátedra extraordinaria ,2012
Cátedra extraordinaria ,2012
Redes universitarias ,2012
Seminario universitario ,2012
Programa universitario ,2012
