i_d,n_espacio,area,tipo_nl,tipo_2,com_dir,asesor_ext,com_tec,coordinadxr,secret,particip,financia,period,colab,invest,docenc,difus,interdis,intercam,vincula,espacio,editorial,coord,contrata ,clases,clases_par,clases_dis
1,Programa Universitario De Estudios Sobre La Ciudad,humanidades ,Programa universitario ,PROGRAMA,com_dir,asesor_ext,com_tec,coordinadxr,no_secretaría,16 a 20,UNAM ,1991-2005,colab,investiga,docen,difusión ,interdisc,no_intercam,vincula,no_espac,edito,coord,no_contrata ,dos,dos,dos
2,Programa denominado Seminario Universitario de La cuestion social ,humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,no_secretaría,1 a 5,UNAM ,1991-2005,colab,investiga,no_docen,difusión ,no_interdisc,no_intercam,no_vincula,no_espac,edito,coord,no_contrata ,tres,tres,tres
3,Seminario Universitario de la Modernidad: Versiones y dimensiones,humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,no_secretaría,1 a 5,UNAM ,1991-2005,colab,investiga,no_docen,difusión ,no_interdisc,no_intercam,no_vincula,no_espac,edito,coord,no_contrata ,tres,tres,tres
4,Programa de Investigación en Cambio Climático,ciencias ,Programa universitario ,PROGRAMA,com_dir,asesor_ext,no_com_tec,coordinadxr,no_secretaría,1 a 5,UNAM ,2006-2010,colab,investiga,no_docen,difusión ,interdisc,no_intercam,vincula,no_espac,no_edito,coord,no_contrata ,dos,,
5,Programa denominado  Seminario De Investigación En Juventud,humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,no_com_tec,coordinadxr,no_secretaría,1 a 5,UNAM ,2006-2010,colab,investiga,no_docen,difusión ,no_interdisc,no_intercam,no_vincula,no_espac,edito,coord,no_contrata ,tres,,
6,Programa denominado  Seminario De Investigación Sobre Historia y Memoria Nacionales,humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,no_com_tec,coordinadxr,no_secretaría,1 a 5,UNAM ,2006-2010,colab,investiga,no_docen,difusión ,no_interdisc,no_intercam,no_vincula,no_espac,edito,coord,no_contrata ,tres,tres,
7,Programa denominado Seminario de Estudios sobre la Globalidad,humanidades ,Seminario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,no_secretaría,cero,UNAM ,2006-2010,colab,investiga,no_docen,difusión ,no_interdisc,no_intercam,no_vincula,no_espac,edito,coord,no_contrata ,tres,,tres
8,Programa denominado Seminario Sobre Medicina Y Salud,ciencias ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,no_secretaría,cero,UNAM ,2006-2010,colab,no_investiga,no_docen,difusión ,no_interdisc,no_intercam,no_vincula,no_espac,no_edito,coord,no_contrata ,tres,,tres
9,Programa denominado  Seminario de Investigación Interdisciplinaria en Biomedicina,ciencias ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,no_secretaría,1 a 5,UNAM ,2011-2015,colab,investiga,docen,difusión ,no_interdisc,no_intercam,no_vincula,no_espac,no_edito,coord,no_contrata ,dos,,
10,Programa Universitario de Bioética,humanidades ,Programa universitario ,PROGRAMA,com_dir,no_asesor_ex,no_com_tec,coordinadxr,no_secretaría,6 a 10,UNAM ,2011-2015,colab,investiga,docen,difusión ,interdisc,no_intercam,vincula,no_espac,no_edito,coord,no_contrata ,dos,dos,
11,Programa Universitario de Derechos Humanos,humanidades ,Programa universitario ,PROGRAMA,com_dir,no_asesor_ex,no_com_tec,coordinadxr,no_secretaría,1 a 5,UNAM ,2011-2015,colab,investiga,no_docen,difusión ,interdisc,no_intercam,vincula,no_espac,no_edito,coord,no_contrata ,dos,,
12,Programa Universitario de Estudios de la Diversidad Cultural y la Interculturalidad,humanidades ,Programa universitario ,PROGRAMA,com_dir,no_asesor_ex,no_com_tec,coordinadxr,no_secretaría,16 a 20,UNAM ,2011-2015,colab,investiga,docen,difusión ,interdisc,no_intercam,vincula,no_espac,edito,coord,no_contrata ,dos,dos,
13,Programa Universitario de Estudios del Desarrollo,humanidades ,Programa universitario ,PROGRAMA,com_dir,asesor_ext,no_com_tec,coordinadxr,no_secretaría,6 a 10,UNAM ,2011-2015,colab,investiga,no_docen,difusión ,interdisc,no_intercam,vincula,no_espac,no_edito,coord,no_contrata ,dos,dos,
14,Seminario Universitario de Gobernabilidad y Fiscalización,humanidades ,Seminario universitario ,SEMINARIO,com_dir,no_asesor_ex,com_tec,coordinadxr,no_secretaría,1 a 5,UNAM ,2011-2015,colab,investiga,no_docen,difusión ,no_interdisc,no_intercam,vincula,no_espac,edito,no_coord,no_contrata ,tres,tres,
